step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0,0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0,0,0
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0,0,0
2,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0,0,0
2,PAYMENT,7107.77,C154988899,183195.0,176087.23,M408069119,0.0,0.0,0,0
3,CASH_IN,20500.0,C1230123061,5000.0,25500.0,C994950684,40000.0,19500.0,0,0
3,DEBIT,5337.77,C712410124,41720.0,36382.23,C195600860,41898.0,40348.79,0,0
4,CASH_OUT,136872.0,C1912850431,136872.0,0.0,C1590550415,100000.0,236872.0,0,0
5,TRANSFER,215310.30,C1670993182,705.0,0.0,C1100697970,22425.0,0.0,0,1
6,PAYMENT,2456.20,C1420196421,10000.0,7543.80,M1935694289,0.0,0.0,0,0
7,CASH_IN,56953.90,C1449772539,200000.0,256953.90,C1666508321,300000.0,243046.10,0,0
8,TRANSFER,62610.80,C1976401987,79114.0,16503.20,C1937962514,517.0,63127.80,0,0
9,CASH_OUT,229133.94,C905080434,229133.94,0.0,C476402209,5083.0,234216.94,0,0
10,DEBIT,9644.94,C1900366749,30000.0,20355.06,C997608398,0.0,0.0,0,0
11,PAYMENT,4098.78,C1026483832,503264.0,499165.22,M1635378213,0.0,0.0,0,0
12,TRANSFER,311685.89,C1984094095,311685.89,0.0,C932583850,6224.0,0.0,1,1
12,CASH_OUT,311685.89,C1984094095,0.0,0.0,C1023714065,2719172.89,3030858.78,1,0
13,CASH_IN,110414.0,C768216420,26845.85,137259.85,C1053967012,195014.0,84600.0,0,0
